uid,Fecha,Imagen_Nombre,Imagen_Fecha,Imagen_Lugar,Género,Edad,Viaje,Motivo
kKanc7r,2025-01-23 19:11:44,IMG_6827.jpeg,2024-10-10,Bcn,Mujer,18-30 años/ years old,No,
m9rqIET,2025-01-23 19:11:58,IMG_0225.jpeg,2024-12-31,Madrid,Mujer,18-30 años/ years old,Si/ yes,Porque estoy acompañada de personas a las que quiero mucho
m6RBcnP,2025-01-23 19:22:04,IMG_0494.jpeg,2024-08-16,Girona,Mujer,18-30 años/ years old,Si/ yes,"Es una foto muy de friends for life, tumbados en un embarcadero después de tirarnos a un río pestilente, no se me parece cutesy"
js08G8N,2025-01-23 19:29:58,IMG_2107.jpeg,2024-07-29,"Fornells, Menorca",hombre,18-30 años/ years old,Si/ yes,"Amigos, fiesta, Menorca"
DJOLn3L,2025-01-23 19:37:24,IMG-20241120-WA0116.jpg,2024-11-12,Madrid-Wizink Center,Mujer,18-30 años/ years old,No,"Sum 41 ha sido siempre uno de mis grupos favoritos. En esta ocasión les puse ver en primera fila antes de su descanso indefinido, por lo que fue un momento muy emocionante para mí."
vikxN8s,2025-01-23 19:42:42,IMG_0830.jpeg,2024-05-03,"Feria de Jerez, Cádiz",Mujer,18-30 años/ years old,Si/ yes,Escapadita con mis amigos de fiesta y buen tiempo
aYfdJqd,2025-01-23 19:47:24,1000124199.jpg,2024-06-05,"Spiaggia di Porto Giunco en Cerdeña, Italia",hombre,18-30 años/ years old,Si/ yes,"Fue en un momento de viaje tras haber terminado al carrera con mis amigas de la carrera, había sido un curso muy ajetreado. Está foto fue tomada al final de un día increíble lleno de buenos momentos, en un lugar precioso y con personas muy importantes para mí. Creo que fue uno de los días del año en el que fui mañana feliz."
8QOYNeU,2025-01-23 19:50:32,6bfaeea0-ac7a-4c48-80ab-aae50e413bff.jpeg,2024-12-13,Tres Cantos,Mujer,Más de 50 años/ over 50 years old,No,Es la representación de la culminación de un sueño. Un resultado fehaciente de algo hecho tras mucho tiempo y esfuerzo empleado.
IUnHWPq,2025-01-23 19:54:28,IMG_9796.jpeg,2024-08-19,vall de núria,Mujer,18-30 años/ years old,No,quan es començava a veure sortir el sol d’entre les muntanyes de bon matí al començar una ruta.
U6CB5lw,2025-01-23 19:57:39,Screenshot_2025-01-23-21-02-14-315_com.miui.gallery.jpg,2024-09-29,Sant pol de mar,Mujer,18-30 años/ years old,No,"Es en la boda de mi primo, en la foto salimos mi pareja, mi prima y su pareja"
Q9HLRQf,2025-01-23 20:02:37,Screen Shot 2025-01-23 at 21.03.41.png,2024-01-06,Lago Ranco,hombre,30-50 años/ years old,No,El día que me case
54DRLZ2,2025-01-23 20:13:50,IMG_3323.jpeg,2024-06-15,Valencia,hombre,18-30 años/ years old,No,Objetivo cumplido
IqG6Oxz,2025-01-23 20:15:17,IMG_9752.jpeg,2024-08-18,Béjar,Mujer,30-50 años/ years old,Si/ yes,Porque muestra el amor
WcHzixq,2025-01-23 20:15:20,1000005739.jpg,2024-10-25,Japo,hombre,Más de 50 años/ over 50 years old,Si/ yes,
yO1nb33,2025-01-23 20:17:40,IMG_9395.jpeg,2024-08-15,Isla de la Toja,hombre,Más de 50 años/ over 50 years old,No,"Esta foto representa la alegría de estar con mi familia, la alegría de vivir, las sonrisas en las caras de mis hijos, el amor incondicional entre todos nosotros. Felicidad simple, entero y pura."
VNLrm0O,2025-01-23 20:18:09,IMG_1319.jpeg,2024-01-28,Calella,Mujer,18-30 años/ years old,No,Primeros dias con mi perro en casa
dMypJZx,2025-01-23 20:19:29,IMG_2327.jpeg,2024-12-19,"Bank, London",Mujer,18-30 años/ years old,No,"This was my last commute into the office in 2024. It makes me happy because it reminds me of an exciting first year at my job in the city, which was full of achievement and happy memories."
DHL1lnU,2025-01-23 20:21:23,IMG-20240406-WA0028.jpg,2024-04-05,Valparaiso,Mujer,18-30 años/ years old,No,Un cuatri-cumpleaños de gente que quiero mucho y no sabía que cumpliamos unx detrás de otrx. Así que cerramos un taller cervecero para celebrarlo ♡
W1CfO5v,2025-01-23 20:24:46,IMG-20241112-WA0015.jpg,2024-11-12,Carrer aragó,hombre,18-30 años/ years old,No,Va significar retrobar-me amb els meus companys del màster i veure que s'havia creat una amistat més enllà d'haver coincidit 1 any amb el màster
Z0FRTGs,2025-01-23 20:35:44,7261A006-F8FA-48F4-BE9E-EC21A9D74327.jpeg,2024-05-24,Barcelona,hombre,18-30 años/ years old,No,"Los colores, la calma que trae, es un momento para disfrutar. Es un recordatorio de lo simple y hermoso que puede ser el mundo."
qEFma5t,2025-01-23 20:40:46,1000057310.jpg,2024-04-15,Hospital Clinic,Mujer,30-50 años/ years old,No,Este es el día que acabe el tratamiento de quimio contra el cáncer de mama.
Mtx40PF,2025-01-23 20:42:36,IMG_2250.jpeg,2024-02-03,Colmenar Viejo,Mujer,30-50 años/ years old,No,Somos mi abuela y yo después de un largo periodo de recuperación de salud. Celebrando la vida.
lsowwa3,2025-01-23 20:42:54,IMG-20240817-WA0003.jpg,2024-08-16,"Portonovo, Pontevedra",Mujer,Más de 50 años/ over 50 years old,No,Porque ese día decidí ser feliz disfrutando de lo que sí tenía: mi familia y cosas ricas para celebrarlo.
zj8xAfQ,2025-01-23 20:49:16,1000017138.jpg,2024-12-30,Madrid,hombre,18-30 años/ years old,Si/ yes,Muestra un momento compartido con una persona que quiero mucho y me gusta como salimos
iReuJmf,2025-01-23 20:49:22,9490E32B-8448-4F40-B2FA-34DB73D36BB3.jpeg,2024-12-18,León,hombre,Más de 50 años/ over 50 years old,No,Es chisguete
VkUYaVU,2025-01-23 20:51:29,FullSizeRender.jpeg,2024-08-16,Menorca,Mujer,30-50 años/ years old,Si/ yes,"Desconexión, libertad y amor"
KiEp9IU,2025-01-23 20:59:28,IMG_5696.jpeg,2024-03-16,València,hombre,18-30 años/ years old,Si/ yes,Moments abans de la primera mascletà de la meva vida
7M0NDeA,2025-01-23 21:04:00,IMG_6469.jpeg,2024-06-08,"Buonconvento, Toscana",Mujer,18-30 años/ years old,Si/ yes,"In the Tuscany countryside, which I love, chilling and having fun with my friends, without thoughts, just laughs"
VPkWLEL,2025-01-23 21:13:10,IMG_7647.jpeg,2024-08-23,Almería,Mujer,18-30 años/ years old,Si/ yes,"Porque fue durante un viaje con mi hermana (a la que quiero mucho), y este momento en concreto me hizo muy feliz porque su perrita (a la que también quiero mucho) se me acurrucó encima mientras estabamos charlando después de comer."
6HSmVf1,2025-01-23 21:13:11,682a100e-a9d1-41ed-aa55-ab57dfff17c0.jpeg,2024-10-22,Islas Canarias,Mujer,30-50 años/ years old,Si/ yes,Me transporta a días felices y relajados con mi familia
7fD6BkD,2025-01-23 21:25:31,IMG_7211.jpeg,2024-08-24,Lisboa,hombre,18-30 años/ years old,Si/ yes,Porque la comparto con la persona mas especial que ha aparecido en este último año.
nUiTyj8,2025-01-23 21:38:03,inbound7728565531867335050.jpg,2024-09-03,Valladolid,hombre,18-30 años/ years old,No,Concierto de Mika
c6t1KIO,2025-01-23 22:21:05,inbound7982325588245864306.webp,2024-07-20,"Jowke, Madrid",hombre,18-30 años/ years old,No,Momento de euforia y terminar la universidad acompañado de mis compañeras y buena música
ddEhQV2,2025-01-23 22:25:25,bccb20e1-f07f-438e-a39c-6bc20ed5e1e5.jpeg,2024-05-18,Cordoba,Mujer,18-30 años/ years old,Si/ yes,Estaba pasandomelo muy bien con un grupo de amigos y esta foto es de la misma semans en que empece a salir con mi novio
DUUADaQ,2025-01-23 22:26:44,IMG_6238.jpeg,2024-03-23,"León, Guanajuato. México",Mujer,18-30 años/ years old,No,Porque comprarme mi primer coche fue un logro personal gigante. Fue la suma de muchos sacrificios y esfuerzo
DO2w5l2,2025-01-23 22:30:48,1000056480.jpg,2024-12-24,"Salamanca, Guanajuato",Mujer,Más de 50 años/ over 50 years old,No,Fue un momento muy feliz para mí porque pude ver a mi esposo nuevamente después de 6 meses  que estuvo trabajando fuera de casa
6KZab8e,2025-01-23 23:08:33,c9dafece-7ea6-4009-9bd5-f4119269909c.jpeg,2024-09-15,Mérida,hombre,18-30 años/ years old,No,"No es por el hecho de que sea mi cumple, sino porque mis amigos decidieron que era más gracioso poner las velas en un costillar antes que en una tarta, así que lo que la hace una de mis fotos más felices de mi 2024 es por las tonterías de mis amigos."
BGYR1P1,2025-01-23 23:10:31,IMG-20241029-WA0003.jpg,2024-10-28,"Paseo de la Castellana, Madrid",hombre,18-30 años/ years old,No,"Con mi novia yendo al trabajo, cantando y bailando canciones. Encontrando la felicidad en las pequeñas cosas!"
r7Fy0B4,2025-01-23 23:47:10,20230815_135729.jpg,2024-05-16,Ecatepec Mexico,Mujer,Más de 50 años/ over 50 years old,No,Porque estabamos festejando el cumpleaños de un sacerdote q padece derrame cerebral y se puso muuuuy contento por su fiesta de cumpleaños. Pienso que la verdadera felicidad esta en hacer feluces a los demas.
cLdgtNW,2025-01-24 02:13:00,IMG-20250123-WA0005.jpg,2024-09-15,"Salamanca, Gto",Mujer,Más de 50 años/ over 50 years old,No,Porque participé en un baile folclórico tradicional de mi país.
d5DBS6l,2025-01-24 02:26:01,68103a57-a325-4cbd-9ef1-8ca94eaa1622.jpeg,2024-10-25,"Salamanca, Gto.",Mujer,Menor de 18 años/ less than18 years old,No,"Para mí esta foto es la más feliz porque participé en una marcha de catrinas por parte de mi escuela, y lo mejor fue que estuve con mis mejores amigos y lo disfrutamos demasiado."
ApDY9U0,2025-01-24 04:43:27,IMG_6794.jpeg,2024-12-31,"Grindelwald, Suiza",Mujer,18-30 años/ years old,Si/ yes,A finales del 2024 viajé con toda mi familia a Europa (soy de México) y fue una experiencia súper cool. Escogí esta foto donde estoy con mis hermanas subiendo a lo alto de una montaña porque estaba muy emocionada de tener esa experiencia en la nieve y conocer un lugar nuevo junto a las personas más importantes en mi vida.
WgJP5N0,2025-01-24 06:35:38,IMG_2290.jpeg,2024-12-31,Portonovo,Mujer,30-50 años/ years old,Si/ yes,Seguramente no es la más feliz pero estoy feliz en ese momento
gRpiLSX,2025-01-24 07:31:01,IMG_3773.jpeg,2024-04-17,Cadaqués,hombre,18-30 años/ years old,Si/ yes,We went to cadqués to enjoy a tasting menu that was a present for our anniversary
ID9EvW7,2025-01-24 08:13:32,IMG-20250102-WA0020.jpg,2024-12-31,"Vigo, Pontevedra España",Mujer,30-50 años/ years old,No,"Al estar reunida con la familia en una fecha especial, como es la navidad!"
gogEMXQ,2025-01-24 09:12:43,IMG_0588.jpeg,2024-06-29,"Paxos, Greece",Mujer,18-30 años/ years old,Si/ yes,"Pure family love and big smiles. This dinner was the first night of the most fabulous holiday. These memories are cherished even more so now, due to a sudden and tragic death in the family. Life is short, you rarely know how important a moment is until its passed, but this was certainly one of them and the happiest I recall being in 2024 (also partially to do with the constant flow of delicious wine and gyros)."
7EcRt5P,2025-01-24 09:49:40,IMG_6164.jpeg,2024-08-28,Sevilla,hombre,30-50 años/ years old,Si/ yes,
aliveF6,2025-01-24 10:25:23,IMG_5211.jpeg,2024-05-24,Jávea,Mujer,18-30 años/ years old,Si/ yes,"Viaje de aniversario con mi pareja en verano. Unas vacaciones en el calor, muy relajadas y junto al mar."
KTjI6Pw,2025-01-24 10:58:22,IMG_0911.jpeg,2024-07-30,Liverpool,Mujer,18-30 años/ years old,No,With my family and a big achievement to remember. So many happy memories from that day and i love being with my family.
ekc8MM3,2025-01-24 11:09:52,IMG_0153.jpeg,2024-05-24,Puerto de Santa Maria,Mujer,18-30 años/ years old,Si/ yes,Reunión de amigas del trabajo
Yjr1BdW,2025-01-24 11:36:38,DSC05899.jpeg,2024-11-09,Illescas,Mujer,18-30 años/ years old,No,"Después de 1 año esperando el día, se casó mi amiga y fiel acompañante durante la universidad. Pasamos un día un emocionante."
D8S9uuG,2025-01-24 12:11:06,inbound3806021299873695859.jpg,2024-08-12,Madrid,Mujer,18-30 años/ years old,No,"Estábamos celebrando el cumpleaños de una amiga, dando una vuelta por Madrid. Me gusta mucho porque estoy con una de mis mejores amigas y siento que se nos ve realmente bien."
mPUG97J,2025-01-24 12:39:10,d5107450-501a-418c-88ee-92bd8ef444da.jpeg,2024-09-01,"Portonovo, Galicia",Mujer,18-30 años/ years old,Si/ yes,"En la playa con poca gente y muy buen tiempo, con mi chico que hacía dos meses que no veía y fue una semana muy guay para despedir el verano"
zaE6raR,2025-01-24 12:53:03,IMG_2400.jpeg,2024-09-15,Barcelona,Mujer,18-30 años/ years old,No,Esta foto la saqué uno de mis primeros días al llegar a Barcelona. Estaba muy feliz porque estaba dando mi primera vuelta en bici por la Barceloneta y había quedado con un amigo que hacía tiempo que no veía. Me sentía muy afortunada de por fin estar viviendo aquí
EZpDowT,2025-01-24 13:48:36,IMG_0335.jpeg,2024-09-28,Cadaqués,Mujer,18-30 años/ years old,Si/ yes,"Perquè va ser un finde molt especial amb les meves amigues a casa d’una d’elles a cadaqués, vam sortir amb barca i ens vam banyar a altamar, un 27 de setembre que l’aigua estava molt freda però tot i així ho vam fer :)"
W3UMrtx,2025-01-24 14:26:34,IMG_9973.jpeg,2024-09-25,Valladolid,Mujer,18-30 años/ years old,No,"Este año me he mudado a un piso nuevo con gente que no conocía. Esta foto es del día de mi cumpleaños, día en el que tenía muy poca ilusión y que desde hace unos años no vivo de la misma manera. Me hizo muy feliz ver que mis compañeras de piso, aún sin conocerme tanto, me dedicaban su día e incluso me regalaban un detalle. Lograron que disfrutara de esta fecha y que me olvidase de los malos recuerdos de mi cumpleaños del año anterior."
b7cSbOe,2025-01-24 17:49:38,IMG_1723.jpeg,2024-08-25,Madrid,Mujer,18-30 años/ years old,No,"Porque estaba en un concierto de mi cantante favorito con mi mejor amiga, prácticamente en primera fila disfrutando muchísimo"
Ya3hiaW,2025-01-24 18:41:28,IMG_3772.jpeg,2024-03-02,Logroño,Mujer,18-30 años/ years old,Si/ yes,"Estábamos de viaje juntas, mis compis del trabajo de otros departamentos y yo, tranquilas, de vinos, pasándolo bien y sin preocuparnos de nada más."
O97maIz,2025-01-24 20:15:21,IMG_4184.jpeg,2024-11-15,Andorra,Mujer,18-30 años/ years old,Si/ yes,"No podia escoger una en verdad, cualquier foto de todos mis viajes contarian porque es cuando mas puedo desconectar de la rutina y escoger y hacer lo que verdaderamente me gusta y me llena, cuando el tiempo se me pasa volando y no sé ni en que día ni en que hora vivo"
VNSqEuq,2025-01-24 21:09:48,IMG_8556.jpeg,2024-08-06,Tavascan (aprox),Mujer,18-30 años/ years old,Si/ yes,Just being in the mountains enjoying nature with the comfortable summer weather made me really happy. What made it the happiest picture was getting to share this moment with one of the most important people in my life. We were just enjoying life.
fOZ01ja,2025-01-25 00:49:45,IMG_7342.jpeg,2024-10-15,Pavia,hombre,18-30 años/ years old,No,Cuando Kitonzi se la está pasando bien es muy contagiosa y todos los que la ven solo pueden pasarla bien. Perrito mágico
JcU6Zbq,2025-01-25 04:28:02,IMG_6551_VSCO.jpeg,2024-12-18,"Nuku Hiva, marquise islands",Mujer,18-30 años/ years old,Si/ yes,"Hacía mucho que quería ir a las islas marquesas, y el poder llegar y estar allí ya me daba mucha felicidades, el feeling de “we made it” y ver que es real y precioso. Venía de muchas semanas de mucho trabajo y estrés en california y el poder desconectar, oír francés (lengua materna), estar en la playa, sentirse como si fuese verano. Y poder estar con mi pareja sin deberes ni distracciones. “Quality time”."
VE2HQpj,2025-01-25 09:47:57,1000031834.jpg,2024-12-03,Paris,Mujer,Más de 50 años/ over 50 years old,Si/ yes,Aniversario de bodas. Viaje en pareja.
gdzxAte,2025-01-25 13:33:29,20241125_174949.jpg,2024-11-25,"Todos santos, BCS",Mujer,18-30 años/ years old,Si/ yes,"Estaba en el viaje que había soñado por años, en uno de los atardeceres más bonitos vistos jamás,  con el sonido de las olas y de una colonia de leones marinos de fondo"
A7Vl5qR,2025-01-25 13:41:13,20240830_140333.jpg,2024-08-30,Puerto vallarta,Mujer,18-30 años/ years old,Si/ yes,Gané el cuncurso de investigación en el que estuve trabajado por meses
MvyisDX,2025-01-25 15:50:16,841034FC-6C38-4D3F-AE4C-05802CB0A41D.jpeg,2024-05-10,Neuen,hombre,Más de 50 años/ over 50 years old,Si/ yes,"Sin prisas, de vacaciones"
IF344Cw,2025-01-25 16:24:52,IMG_5877.jpeg,2024-08-21,Sanxenxo,Mujer,18-30 años/ years old,Si/ yes,"Vacaciones de verano, en un concierto de música, con amigas y buen tiempo."
enVFeXw,2025-01-25 18:57:26,IMG-20250125-WA0002.jpg,2024-08-12,"Hellasgården, Stockholm",hombre,18-30 años/ years old,No,"Mi familia me vino a visitar a Estocolmo, después de unos meses sin vernos. Aproveché para llevarlos a ver un lago en la naturaleza y nos bañamos todos. En esta foto se me ve a mí en primer plano being goofy y de fondo se ve el paisaje y mi familia bañándose en el lago. Me hace feliz pensar en ellos y en el tiempo de calidad que solemos pasar en la naturaleza:) Además el invierno sueco es muy duro y siento nostalgia por el verano."
BPZDfda,2025-01-26 08:06:03,IMG_6654.jpeg,2024-03-05,"Jasná, Slovakia",hombre,18-30 años/ years old,Si/ yes,"Me la estaba pasando excelente con amigos, esquiando en un lugar desconocido, conociendo gente nueva, comiendo diferente. El viaje en general fue algo muy fuera de lo normal, fuimos a un país donde no hablábamos el idioma y no todos hablaban inglés o español aunque fuera de segundo idioma… en general fue divertido, con los choques culturales que conlleva."
pUN3W8q,2025-01-26 10:08:27,1000018089.jpg,2024-06-02,"Valladolid, huerta del rey",hombre,Menor de 18 años/ less than18 years old,No,
IQjZXUr,2025-01-26 11:06:17,DSC07058.JPG,2025-07-25,"Las Grietas, Lanzarote",Mujer,18-30 años/ years old,Si/ yes,Fue un viaje que hice con mi pareja donde estuvimos una semana de ruta por Lanzarote y pudimos desconectar de la vida que teníamos en Barcelona. Fue el primer viaje de mas de 3 días y fue un momento de mucha paz y tranquilidad
SANetW2,2025-01-26 14:55:20,a15e1ca0-538e-4d0e-b269-27636d0d4c53.jpeg,2024-05-29,"Mirabel, Extremadura",hombre,18-30 años/ years old,Si/ yes,"It’s spring 2024 and happiness looks like stepping outside and seeing nothing but olive trees and blue skies. The same view I’ve shared with family every summer for 24 years,  I got to share with some of the people I love the most. And even today, with the longer grass and thicker trees, it still brings me peace and happiness. When Lucia came to visit in June, she drew a sketch of this very tree and, because of that, I have the pleasure of thinking of her every time I look at it."
iKlcWmU,2025-01-26 15:01:42,82ed695a-7b99-41ed-9866-f8f4d2f7da65.jpeg,2024-08-31,"Portonovo, Galicia",hombre,18-30 años/ years old,Si/ yes,"It’s august 2024 and this is what happiness looks like in a photo. Half naked and surrounded by fellow siesta-taking strangers on the misty beach. In a place that felt like a different world to what I was used to, she made it feel like home wherever we went. I took this photo because I wanted to relive the special moment every time I came across it. And I do. For the only thing that made me happier than being kissed by the sun, was being kissed by this sleepy, tanned, wavy-haired girl."
vjf74VI,2025-01-27 18:19:35,IMG_4611.jpeg,2024-10-23,"Tijuana,BC",Mujer,18-30 años/ years old,No,"Nos reunimos para festejar el cumpleaños de un amigo, el festejo terminó en guerra de pasteles, espuma y confeti. Todos terminamos embarrados, llenos de pastel y llorando de la risa."
1tmKJ4m,2025-01-27 18:24:54,IMG_7756.jpeg,2024-12-25,barcelona,hombre,18-30 años/ years old,No,Vivo para comer.
6UuYJ1T,2025-01-28 14:28:36,IMG_0596.jpeg,2024-12-21,"Alameda, Guanajuato Gto. Mx.",Mujer,18-30 años/ years old,No,"Es la foto del amor de mi vida, me interrumpe mientras leo."
QDjn6u4,2025-01-28 14:47:08,IMG_6358.jpeg,2024-06-09,México,Mujer,18-30 años/ years old,No,Porque fue una foto que me tomé llegando a mi casa con mi perro después de estar bailando toda la noche en la graduación de mi hermana y pasarla muy bien con la gente que más quiero
3gYlrnX,2025-01-28 15:49:05,IMG_5484.jpeg,2024-09-14,Barcelona,Mujer,18-30 años/ years old,No,"Mis amigas, tiempo de cuidados"
